iter	Passed	Remaining
0	144	14261
1	145	7135
2	146	4752
3	148	3559
4	150	2852
5	152	2388
6	153	2042
7	155	1786
8	157	1588
9	158	1424
10	159	1289
11	161	1184
12	162	1090
13	164	1012
14	165	940
15	167	877
16	168	820
17	169	770
18	170	726
19	172	689
20	173	652
21	174	619
22	176	591
23	178	563
24	179	538
25	180	514
26	182	493
27	183	472
28	185	453
29	186	435
30	187	417
31	188	401
32	190	385
33	191	372
34	193	358
35	194	345
36	195	333
37	197	321
38	198	310
39	199	299
40	200	288
41	201	278
42	203	269
43	204	260
44	206	252
45	207	243
46	208	235
47	209	227
48	211	220
49	212	212
50	213	205
51	215	198
52	216	192
53	218	185
54	219	179
55	220	173
56	222	167
57	223	161
58	224	156
59	226	151
60	228	145
61	229	140
62	230	135
63	232	130
64	233	125
65	234	120
66	235	116
67	237	111
68	238	107
69	240	103
70	241	98
71	243	94
72	245	90
73	246	86
74	248	82
75	249	78
76	250	74
77	252	71
78	253	67
79	255	63
80	256	60
81	258	56
82	259	53
83	261	49
84	262	46
85	263	42
86	265	39
87	266	36
88	267	33
89	268	29
90	269	26
91	271	23
92	272	20
93	273	17
94	275	14
95	276	11
96	277	8
97	279	5
98	281	2
99	282	0
